,gender,married,dependents,education,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area_Semiurban,property_area_Urban,loan_status
43,1,1,1,0,0,-1.067,0.962,-0.459,0.284,1.0,0.0,1.0,0
44,1,0,0,1,0,-0.593,0.761,-0.332,0.284,1.0,0.0,0.0,1
45,1,1,3,1,0,-0.631,-0.835,-0.459,0.284,1.0,0.0,0.0,1
46,1,1,2,0,0,0.137,1.418,1.775,0.284,1.0,1.0,0.0,1
47,1,1,1,0,0,-0.031,0.092,-0.187,0.284,1.0,0.0,0.0,0
48,0,0,0,0,1,-0.483,-0.835,-0.296,0.284,1.0,0.0,1.0,1
49,1,1,0,0,0,0.429,1.988,2.174,0.284,1.0,1.0,0.0,0
50,0,0,0,0,0,1.48,-0.835,2.242,0.284,1.0,1.0,0.0,1
51,1,0,2,0,0,-0.449,-0.835,-1.059,0.284,0.0,0.0,0.0,0
52,1,1,1,0,0,2.233,-0.835,0.848,-2.619,1.0,0.0,0.0,1
53,1,1,2,0,1,0.305,1.743,2.242,0.284,1.0,0.0,1.0,1
54,1,1,0,0,0,0.08,-0.325,-0.242,0.284,1.0,1.0,0.0,1
55,1,1,1,1,0,0.252,0.044,0.412,0.284,0.0,1.0,0.0,1
56,1,0,0,0,0,2.233,-0.835,1.884,0.284,0.0,1.0,0.0,0
57,1,1,0,0,1,0.466,0.492,0.83,0.284,1.0,1.0,0.0,1
58,1,1,2,0,0,0.822,0.24,1.666,-0.684,1.0,1.0,0.0,1
59,0,1,0,0,0,-0.031,-0.835,-0.986,0.284,1.0,0.0,0.0,0
60,1,1,0,0,0,-0.357,-0.835,-0.514,0.284,1.0,1.0,0.0,1
61,1,1,0,1,0,-0.703,-0.505,-1.313,0.284,1.0,0.0,0.0,0
62,1,1,0,1,0,-0.911,1.5,-0.187,-2.619,1.0,0.0,1.0,0
63,1,1,0,0,0,-0.376,0.256,-0.133,0.284,1.0,1.0,0.0,1
64,1,1,0,0,0,0.467,-0.835,0.104,0.284,1.0,0.0,1.0,1
65,1,0,0,0,0,-0.199,-0.835,-0.732,0.284,0.0,1.0,0.0,0
66,1,1,2,0,0,-0.38,-0.835,-0.332,0.284,1.0,1.0,0.0,1
67,0,0,0,0,0,-0.046,-0.835,-0.423,0.284,1.0,1.0,0.0,1
68,1,1,2,0,0,0.137,-0.835,-1.204,0.284,0.0,1.0,0.0,0
69,0,0,1,0,0,-0.451,-0.835,-0.478,0.284,1.0,1.0,0.0,1
70,1,0,0,1,0,0.855,-0.835,-0.151,0.284,1.0,1.0,0.0,1
71,1,1,0,1,0,-0.83,0.339,-0.405,0.284,0.0,1.0,0.0,0
72,1,1,0,0,0,-1.019,0.143,-0.768,0.284,1.0,1.0,0.0,1
73,1,1,0,0,0,-1.149,0.313,-0.877,0.284,1.0,0.0,1.0,1
74,1,1,1,0,0,-0.77,0.297,-0.423,0.284,1.0,1.0,0.0,1
75,1,1,0,0,0,-0.381,-0.835,-1.749,-2.619,1.0,0.0,0.0,1
76,1,1,1,0,0,0.398,-0.835,-1.713,0.284,1.0,0.0,1.0,1
77,0,1,2,0,0,-1.323,0.321,0.521,0.284,1.0,0.0,1.0,0
78,1,1,3,0,0,1.241,-0.835,-0.187,-2.619,1.0,0.0,1.0,1
79,0,0,0,1,0,-0.986,-0.835,-1.313,0.284,1.0,0.0,0.0,1
80,1,0,0,1,1,0.459,-0.835,-0.114,0.284,1.0,1.0,0.0,1
81,1,1,2,0,1,2.233,-0.835,2.242,0.284,1.0,0.0,0.0,1
82,0,0,0,0,0,-0.92,-0.835,-1.676,0.284,1.0,0.0,0.0,0
83,1,1,2,0,0,0.294,-0.835,-0.151,0.284,1.0,0.0,1.0,1
84,1,1,0,0,0,-0.469,0.372,-0.405,0.284,1.0,0.0,0.0,1
85,1,1,0,0,0,-0.961,0.435,-0.187,0.284,1.0,0.0,1.0,1
86,1,1,0,1,1,-0.827,1.284,0.485,-2.619,0.0,0.0,0.0,0
87,0,1,0,0,0,-0.4,0.062,0.104,0.284,1.0,1.0,0.0,1
88,1,1,3,1,0,0.038,-0.835,-0.786,0.284,0.0,1.0,0.0,0
89,1,1,0,1,0,-1.145,0.252,-0.786,0.284,1.0,0.0,0.0,1
90,0,1,0,1,1,1.0,-0.835,-0.005,0.284,1.0,0.0,0.0,1
91,1,1,2,0,1,0.54,-0.835,1.211,-1.651,1.0,1.0,0.0,0
92,1,1,0,0,0,0.572,0.744,0.794,0.284,1.0,0.0,0.0,0
93,0,0,0,0,0,-0.605,-0.835,-0.696,0.284,1.0,1.0,0.0,1
94,0,0,0,0,0,-0.703,-0.835,-0.986,0.284,1.0,1.0,0.0,1
95,1,1,0,1,1,0.03,-0.835,-0.005,0.284,1.0,0.0,1.0,0
96,1,1,2,0,0,2.032,-0.835,-0.478,0.284,1.0,0.0,1.0,1
97,1,1,0,0,0,0.471,-0.835,-0.005,0.284,1.0,0.0,0.0,1
98,1,1,1,0,0,0.892,-0.835,1.121,0.284,1.0,1.0,0.0,1
99,1,0,0,0,0,-0.266,0.701,0.031,0.284,1.0,0.0,0.0,1
100,1,0,0,0,0,2.233,-0.835,2.242,0.284,1.0,0.0,0.0,0
101,1,0,0,1,0,-0.334,-0.835,-0.514,0.284,1.0,0.0,0.0,1
102,1,1,2,0,0,-0.558,-0.537,-0.06,0.284,1.0,1.0,0.0,1
103,1,0,0,0,0,-0.427,-0.835,-1.059,0.284,1.0,0.0,1.0,0
104,1,1,0,0,0,2.233,-0.835,-0.514,0.284,1.0,1.0,0.0,1
105,0,0,3,0,0,-0.636,-0.835,2.12,0.284,1.0,0.0,0.0,1
106,1,1,2,0,0,0.757,-0.835,1.211,0.284,1.0,1.0,0.0,1
107,1,1,0,0,0,-1.081,-0.222,-1.604,0.284,1.0,1.0,0.0,1
108,1,1,1,0,0,1.375,-0.687,2.083,0.284,1.0,0.0,1.0,1
109,0,0,0,0,0,-0.145,-0.835,-0.042,0.284,0.0,1.0,0.0,0
110,1,1,0,1,0,-1.206,1.555,1.139,0.284,0.0,1.0,0.0,0
111,1,1,1,0,0,0.566,0.397,2.029,0.284,1.0,1.0,0.0,1
112,1,0,0,0,0,-1.153,-0.089,-1.658,0.284,1.0,0.0,1.0,1
113,1,0,0,0,1,2.233,-0.835,0.885,0.284,0.0,0.0,1.0,0
114,1,1,0,0,0,2.233,-0.835,2.242,0.284,1.0,1.0,0.0,1
115,1,1,1,0,0,0.237,-0.412,0.394,0.284,1.0,0.0,0.0,1
116,1,1,0,0,0,0.509,0.427,1.32,0.284,1.0,0.0,0.0,1
117,0,0,0,0,0,1.023,-0.835,-0.332,0.284,1.0,0.0,0.0,1
118,1,1,1,1,0,-0.043,-0.08,0.358,0.284,1.0,0.0,1.0,1
119,1,1,3,0,0,2.233,-0.835,2.242,0.284,0.0,0.0,0.0,0
120,0,0,0,1,0,-0.125,-0.835,0.285,0.284,1.0,0.0,0.0,1
121,0,0,0,0,0,-0.574,-0.835,-1.967,0.284,1.0,0.0,1.0,1
122,1,1,1,0,1,-0.481,-0.091,-0.151,0.284,1.0,0.0,0.0,1
123,1,0,0,1,0,-0.306,0.189,-0.532,0.284,1.0,0.0,0.0,1
124,1,1,1,0,0,-0.755,0.343,0.14,0.284,0.0,0.0,0.0,0
125,1,1,2,1,1,0.694,-0.22,0.885,0.284,1.0,0.0,0.0,0
126,0,1,0,0,0,-0.602,-0.835,-1.858,0.284,1.0,1.0,0.0,1
127,1,0,0,0,1,0.56,1.827,-0.332,-2.619,1.0,0.0,1.0,0
128,1,1,1,1,0,-0.83,0.701,-0.877,0.284,1.0,1.0,0.0,1
129,1,1,1,0,0,1.043,0.189,-0.514,0.284,0.0,0.0,1.0,0
130,1,0,0,0,0,-0.228,1.283,0.231,0.284,1.0,0.0,0.0,1
131,1,1,0,0,0,2.233,-0.835,2.242,-2.619,1.0,0.0,1.0,1
132,1,1,0,0,0,-0.911,-0.835,-1.15,0.284,1.0,0.0,1.0,1
133,1,1,0,0,0,-1.039,1.1,-0.187,0.284,1.0,1.0,0.0,1
134,1,0,0,0,0,0.264,-0.835,-0.042,0.284,1.0,0.0,1.0,1
135,1,1,1,0,1,-0.913,-0.835,-0.187,0.284,1.0,1.0,0.0,1
136,1,1,2,1,0,-0.397,-0.686,-0.55,0.284,1.0,1.0,0.0,1
137,0,0,1,0,0,2.233,-0.835,-1.785,0.284,1.0,0.0,1.0,1
138,0,0,0,0,0,-0.199,-0.835,-1.713,0.284,1.0,1.0,0.0,1
139,0,0,0,0,0,-0.803,0.164,-0.986,0.284,1.0,0.0,1.0,1
140,0,0,0,0,0,0.54,-0.835,0.322,0.284,1.0,0.0,1.0,1
141,0,1,0,0,0,-0.698,0.599,0.013,0.284,1.0,1.0,0.0,1
142,1,1,0,0,0,-1.465,2.544,1.411,0.284,1.0,0.0,0.0,1
143,1,0,0,0,0,-0.871,-0.835,-1.513,0.284,1.0,1.0,0.0,1
144,1,0,0,0,0,-0.925,0.72,-0.042,0.284,1.0,1.0,0.0,1
145,1,1,3,0,0,2.233,-0.835,2.242,-2.619,0.0,1.0,0.0,1
146,1,1,0,1,0,-0.712,0.881,0.303,0.284,1.0,0.0,0.0,1
147,1,1,0,0,0,-0.576,0.363,-0.55,0.284,1.0,0.0,0.0,1
148,1,0,0,0,1,0.871,-0.835,0.049,0.284,1.0,0.0,0.0,1
149,1,0,2,0,0,-0.124,-0.835,-0.042,0.284,1.0,0.0,0.0,1
150,1,1,0,0,1,-1.039,1.674,0.394,0.284,1.0,1.0,0.0,1
151,0,0,1,1,1,-0.32,-0.835,-1.386,0.284,1.0,1.0,0.0,0
152,1,1,0,0,0,1.782,-0.835,1.629,0.284,1.0,1.0,0.0,1
153,1,0,0,0,0,-0.683,2.607,0.303,-4.554,1.0,0.0,1.0,1
154,1,1,2,0,0,-0.787,-0.118,-0.75,0.284,1.0,1.0,0.0,1
155,0,0,1,0,1,1.124,-0.835,-0.187,0.284,1.0,1.0,0.0,1
156,1,1,2,0,0,2.233,-0.835,2.242,0.284,1.0,0.0,1.0,1
157,1,1,0,0,0,-0.141,-0.835,-0.151,0.284,1.0,1.0,0.0,1
158,1,0,0,1,0,0.558,-0.835,-0.423,0.284,0.0,0.0,0.0,0
159,1,0,0,0,0,0.187,-0.835,-0.26,0.284,0.0,0.0,0.0,0
160,1,0,0,0,0,-1.131,0.91,-0.441,0.284,1.0,0.0,0.0,0
161,1,0,0,0,0,1.815,-0.835,1.92,0.284,1.0,0.0,1.0,0
162,1,0,0,0,0,0.008,0.447,-0.187,0.284,1.0,1.0,0.0,0
163,0,1,0,0,0,-0.812,1.279,-0.332,0.284,0.0,0.0,1.0,0
164,1,1,1,0,0,0.521,2.607,2.242,0.284,1.0,0.0,1.0,1
165,1,1,1,0,1,2.233,0.548,-0.95,0.284,1.0,1.0,0.0,1
166,0,0,3,0,0,-1.711,2.607,2.242,-2.619,1.0,0.0,1.0,0
167,0,1,0,1,0,-0.662,-0.427,-0.659,0.284,1.0,1.0,0.0,1
168,1,0,0,0,1,0.922,-0.835,0.667,-2.619,1.0,1.0,0.0,1
169,1,1,0,0,0,1.48,-0.835,0.394,0.284,1.0,1.0,0.0,0
170,1,1,0,0,0,-0.953,0.1,-0.623,0.284,1.0,0.0,1.0,1
171,1,1,2,0,0,0.154,0.445,0.848,0.284,1.0,0.0,0.0,0
172,1,1,0,1,0,-0.889,0.599,0.776,0.284,0.0,0.0,1.0,0
173,1,0,2,0,0,-0.432,-0.835,-0.514,0.284,0.0,0.0,0.0,0
174,1,1,2,0,0,-0.018,-0.835,-0.078,0.284,1.0,0.0,1.0,0
175,1,0,0,0,0,0.036,-0.835,-0.805,0.284,1.0,1.0,0.0,1
176,1,0,3,1,0,0.019,0.39,0.176,0.284,1.0,1.0,0.0,1
177,1,0,0,0,0,-0.602,-0.835,-1.168,0.284,1.0,0.0,1.0,0
178,0,0,0,0,0,-0.911,0.31,-0.623,0.284,0.0,0.0,1.0,0
179,1,1,0,0,0,-0.663,0.51,0.267,0.284,1.0,0.0,0.0,1
180,1,0,0,1,0,-0.368,0.19,-0.514,0.284,1.0,1.0,0.0,1
181,1,1,0,0,0,-0.145,-0.835,-0.369,0.284,1.0,0.0,1.0,1
182,1,1,0,1,0,0.553,-0.835,0.394,0.284,1.0,0.0,1.0,0
183,1,0,0,0,0,-0.468,-0.835,-1.041,-0.684,1.0,1.0,0.0,1
184,0,0,0,1,0,-0.508,-0.835,-0.786,0.284,1.0,0.0,0.0,0
185,1,1,1,0,0,-0.717,0.298,-0.278,2.219,1.0,1.0,0.0,1
186,1,1,0,0,0,1.306,0.291,0.757,0.284,1.0,0.0,0.0,1
187,1,1,3,1,1,0.983,-0.835,-0.242,-4.554,1.0,0.0,1.0,1
188,1,1,0,0,0,-0.918,1.214,0.612,0.284,1.0,1.0,0.0,1
189,1,1,2,0,0,-0.589,-0.405,-1.241,0.284,1.0,0.0,1.0,1
190,0,0,0,1,0,-0.102,-0.835,-0.332,0.284,1.0,1.0,0.0,1
191,0,0,0,0,0,-0.571,-0.835,-1.059,0.284,1.0,0.0,1.0,1
192,1,1,0,1,0,-0.506,1.879,-0.278,0.284,1.0,1.0,0.0,1
193,1,1,0,0,0,1.175,-0.214,0.667,0.284,1.0,1.0,0.0,1
194,1,1,0,0,0,-0.014,0.92,-0.496,-5.328,1.0,0.0,1.0,1
195,1,1,3,1,0,0.109,-0.835,-0.187,0.284,1.0,1.0,0.0,0
196,1,0,0,0,1,0.204,-0.835,-0.187,0.284,1.0,1.0,0.0,1
197,1,1,0,1,0,-1.153,0.968,-0.823,0.284,0.0,0.0,1.0,0
198,1,1,0,0,0,-0.83,1.315,-0.423,0.284,1.0,0.0,1.0,1
199,1,0,0,0,1,2.233,-0.835,-1.004,0.284,1.0,0.0,1.0,0
200,1,1,0,0,0,0.036,0.599,-0.151,0.284,1.0,0.0,1.0,1
201,1,1,3,1,0,-0.27,-0.835,-0.187,-2.619,1.0,0.0,1.0,0
202,1,1,1,1,0,-0.874,0.624,-0.187,0.284,1.0,0.0,0.0,1
203,1,1,1,0,0,0.325,-0.201,-2.04,0.284,1.0,1.0,0.0,1
204,0,0,0,0,0,-0.464,-0.835,-1.132,0.284,0.0,0.0,1.0,0
205,1,1,3,1,0,-0.691,0.188,-1.241,-2.619,0.0,0.0,1.0,0
206,0,0,0,0,0,-0.868,-0.835,-1.495,0.284,1.0,0.0,0.0,1
207,1,0,0,0,0,-1.067,0.35,-1.168,0.284,1.0,0.0,1.0,1
208,1,1,2,0,0,1.178,-0.835,0.885,0.284,1.0,0.0,1.0,1
209,1,1,2,1,0,-0.427,0.142,-0.187,0.284,1.0,0.0,0.0,1
210,1,1,0,0,0,-0.628,-0.036,-1.059,0.284,1.0,0.0,1.0,1
211,1,1,1,0,0,-0.501,0.24,0.866,0.284,1.0,0.0,1.0,1
212,1,1,0,0,0,-0.429,0.49,-0.351,0.284,0.0,0.0,0.0,0
213,1,0,0,0,0,0.479,-0.835,-0.187,0.284,1.0,0.0,1.0,1
214,1,1,0,0,0,-0.384,0.744,0.63,0.284,1.0,0.0,1.0,0
215,0,0,0,0,0,2.151,-0.835,1.375,0.284,1.0,1.0,0.0,0
216,0,0,0,0,0,-0.635,-0.835,-0.332,0.284,1.0,1.0,0.0,1
217,1,1,3,0,0,1.952,-0.835,2.242,0.284,1.0,0.0,0.0,1
218,0,0,0,0,0,-0.504,-0.835,-0.914,0.284,1.0,0.0,1.0,1
219,1,1,0,0,0,0.437,-0.835,2.12,0.284,1.0,0.0,1.0,0
220,1,1,0,0,0,-1.142,-0.018,-0.696,0.284,0.0,0.0,1.0,0
221,1,1,0,0,0,2.233,0.455,2.242,0.284,1.0,0.0,0.0,0
222,1,1,0,0,0,-0.025,-0.835,-1.186,-2.619,1.0,1.0,0.0,1
223,1,1,2,0,0,-1.355,-0.167,-2.203,-3.586,1.0,0.0,1.0,1
224,0,1,2,0,0,-1.06,0.168,-0.459,2.219,1.0,1.0,0.0,1
225,1,1,3,0,0,2.233,-0.835,2.242,-0.684,1.0,0.0,1.0,1
226,1,1,1,0,0,0.114,-0.835,-0.187,0.284,0.0,0.0,0.0,0
227,0,0,0,1,0,-0.782,-0.835,-1.059,0.284,0.0,0.0,1.0,0
228,1,1,1,0,0,-0.367,-0.835,-0.405,0.284,1.0,1.0,0.0,1
229,1,1,2,0,0,0.467,2.237,-0.332,0.284,1.0,0.0,0.0,1
230,1,1,1,0,0,2.233,-0.835,2.242,0.284,1.0,0.0,1.0,1
231,1,0,1,1,0,-0.429,-0.835,-0.696,-1.651,1.0,0.0,1.0,1
232,1,1,1,1,0,-1.089,0.662,-0.133,0.284,1.0,0.0,0.0,1
233,1,1,0,0,0,2.233,-0.835,1.738,0.284,1.0,1.0,0.0,1
234,1,1,0,0,0,0.422,2.607,0.885,0.284,1.0,1.0,0.0,1
235,1,1,2,0,0,1.346,-0.835,1.121,0.284,1.0,1.0,0.0,1
236,1,1,0,0,0,-0.983,-0.835,-1.422,0.284,0.0,0.0,1.0,0
237,1,1,0,0,0,0.333,-0.835,-0.242,0.284,1.0,0.0,0.0,1
238,1,0,0,0,1,2.233,-0.835,2.242,2.219,1.0,0.0,1.0,1
239,1,1,2,0,0,2.233,-0.143,1.575,0.284,1.0,0.0,1.0,1
240,1,1,0,0,1,-0.84,1.469,0.249,0.284,1.0,0.0,0.0,1
241,0,1,0,0,1,0.338,-0.835,-0.605,0.284,0.0,0.0,0.0,0
242,1,0,0,0,0,0.117,-0.835,-0.242,0.284,1.0,0.0,1.0,1
243,0,0,0,0,0,-0.764,0.062,-0.514,0.284,1.0,0.0,1.0,1
244,1,1,0,1,0,0.091,-0.835,-0.096,0.284,1.0,0.0,0.0,0
245,1,1,0,0,0,2.233,2.4,2.242,0.284,1.0,0.0,0.0,0
246,0,1,2,0,0,2.233,-0.835,-1.241,0.284,1.0,0.0,1.0,1
247,1,0,1,0,0,-0.112,0.267,-0.387,0.284,1.0,0.0,1.0,1
248,1,1,3,1,0,-0.459,-0.835,-1.041,-2.619,1.0,0.0,0.0,0
249,1,1,0,0,0,-0.938,0.65,-0.042,0.284,1.0,0.0,1.0,1
250,0,0,0,0,0,-0.92,-0.835,-2.348,0.284,1.0,0.0,1.0,0
251,1,0,0,1,0,-1.072,-0.835,-0.187,0.284,1.0,0.0,1.0,0
252,1,1,0,1,0,-0.439,1.693,0.249,0.284,0.0,0.0,0.0,0
253,1,1,0,0,0,-0.804,1.807,-0.314,0.284,1.0,0.0,0.0,1
254,1,0,0,0,0,2.233,-0.835,2.242,0.284,1.0,1.0,0.0,1
255,1,0,0,0,0,0.009,0.342,0.848,0.284,1.0,1.0,0.0,0
256,1,0,0,0,0,0.305,-0.835,0.539,0.284,1.0,0.0,1.0,1
257,1,1,2,1,0,1.211,-0.835,0.848,0.284,1.0,0.0,0.0,1
258,1,1,0,1,0,0.578,-0.835,1.448,0.284,0.0,0.0,0.0,0
259,0,0,0,1,0,-1.11,0.618,-0.332,0.284,1.0,0.0,1.0,1
260,1,0,0,0,0,-0.86,0.261,0.122,0.284,1.0,0.0,0.0,1
261,1,1,0,0,0,1.881,-0.835,0.903,-2.619,1.0,0.0,0.0,1
262,1,1,1,0,1,1.26,-0.835,1.847,0.284,1.0,0.0,1.0,1
263,1,1,0,0,0,-0.656,0.062,-0.786,0.284,1.0,0.0,1.0,1
264,1,1,0,1,0,-0.97,0.414,-0.514,0.284,1.0,0.0,0.0,1
265,1,1,0,0,0,-0.878,0.68,-0.877,-2.619,0.0,0.0,0.0,1
266,1,1,1,0,0,0.54,-0.835,0.394,0.284,1.0,0.0,0.0,1
267,1,0,0,0,0,0.654,1.878,1.284,0.284,0.0,0.0,0.0,0
268,1,1,0,0,0,-0.269,1.177,1.248,0.284,1.0,1.0,0.0,1
269,1,0,0,1,0,-1.297,-0.835,-1.876,0.284,1.0,0.0,1.0,0
270,1,1,0,1,0,-0.191,-0.835,-0.423,-2.619,1.0,1.0,0.0,1
271,0,0,1,0,0,-0.407,-0.835,-0.786,0.284,1.0,1.0,0.0,1
272,1,0,1,1,0,-0.799,-0.035,-0.805,0.284,1.0,1.0,0.0,1
273,1,0,0,0,0,0.465,1.417,2.242,0.284,1.0,0.0,0.0,0
274,0,1,1,0,0,-0.538,-0.274,-0.605,-4.167,1.0,1.0,0.0,1
275,1,1,1,0,1,-1.0,-0.835,-1.313,-0.684,0.0,0.0,0.0,0
276,1,1,1,0,1,2.084,0.291,0.794,-2.619,1.0,0.0,1.0,1
277,0,1,1,0,1,2.233,-0.835,2.242,0.284,1.0,1.0,0.0,1
278,1,0,0,1,0,-0.851,0.42,-0.223,0.284,1.0,0.0,0.0,1
279,1,1,2,0,0,-0.64,2.607,1.121,0.284,1.0,0.0,1.0,1
280,1,1,2,1,0,-1.089,0.06,-1.422,-0.684,1.0,0.0,1.0,1
281,1,1,2,0,1,-0.871,1.991,0.685,0.284,1.0,0.0,0.0,1
282,1,0,0,0,0,-0.783,-0.835,-1.241,0.284,1.0,1.0,0.0,1
283,1,1,2,0,1,-1.233,2.607,1.829,0.284,1.0,0.0,1.0,0
284,1,1,2,1,0,-1.075,0.164,-0.459,-2.619,1.0,1.0,0.0,1
285,1,1,2,1,0,-0.948,-0.064,-0.242,0.284,0.0,0.0,0.0,0
286,1,1,2,0,0,-0.555,0.416,0.176,0.284,1.0,0.0,1.0,1
287,1,0,0,0,0,0.855,-0.835,-0.187,0.284,1.0,0.0,1.0,0
288,1,1,1,0,0,-1.16,0.537,-0.568,0.284,1.0,0.0,0.0,1
289,1,1,2,0,0,1.48,-0.835,1.956,0.284,1.0,1.0,0.0,1
290,1,0,0,0,0,-0.737,-0.835,-1.222,0.284,1.0,0.0,1.0,1
291,0,1,0,0,0,2.17,-0.835,-0.187,-1.651,1.0,1.0,0.0,1
292,1,1,0,0,0,-0.296,-0.343,-0.478,0.284,1.0,1.0,0.0,1
293,0,0,2,0,0,-0.367,0.445,-0.332,0.284,1.0,1.0,0.0,1
294,1,1,1,0,0,2.233,2.607,2.242,0.284,1.0,1.0,0.0,0
295,1,1,0,0,0,-0.585,1.049,0.612,0.284,1.0,0.0,1.0,1
296,1,0,0,0,0,-1.102,0.303,-1.604,0.284,1.0,1.0,0.0,1
297,0,0,2,0,0,-0.497,-0.835,-0.005,0.284,1.0,0.0,1.0,0
298,1,1,0,0,0,2.233,2.607,2.242,0.284,1.0,0.0,1.0,1
299,1,1,2,0,1,-0.542,1.315,-0.914,0.284,1.0,0.0,1.0,1
300,1,1,0,1,0,-0.665,1.092,-0.187,0.284,0.0,0.0,1.0,0
301,1,1,0,0,0,-0.57,0.036,-0.005,0.284,1.0,1.0,0.0,1
302,1,1,2,0,0,-0.72,0.315,-0.114,0.284,0.0,1.0,0.0,0
303,1,1,2,0,0,-0.264,0.103,0.539,0.284,1.0,0.0,1.0,1
304,1,1,0,0,0,-0.287,0.23,0.194,0.284,0.0,0.0,0.0,0
305,1,1,0,1,0,-0.837,0.614,-0.332,0.284,1.0,0.0,1.0,1
306,1,0,0,0,0,-0.879,-0.835,-1.44,0.284,1.0,0.0,1.0,1
307,1,0,2,0,0,0.106,-0.835,0.503,0.284,0.0,1.0,0.0,1
308,0,0,0,0,0,-1.148,0.189,-1.531,0.284,1.0,0.0,1.0,1
309,1,1,2,0,0,0.082,2.607,1.266,0.284,1.0,1.0,0.0,1
310,1,1,1,1,0,-0.508,0.173,-0.496,-2.619,1.0,0.0,1.0,1
311,0,1,0,0,0,-0.602,0.568,0.285,0.284,1.0,1.0,0.0,1
312,1,1,3,0,1,0.244,0.255,0.885,0.284,1.0,1.0,0.0,1
313,1,1,1,1,0,-0.806,2.607,2.242,-2.619,1.0,1.0,0.0,1
314,0,0,0,0,0,-0.597,-0.835,-1.222,0.284,0.0,0.0,1.0,0
