,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alone,survived
25,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,True,1
26,3,male,28.5,0,0,7.75,Q,Third,man,True,F,Queenstown,True,0
27,1,male,48.0,1,0,52.0,S,First,man,True,C,Southampton,False,1
28,3,male,29.0,0,0,7.8958,C,Third,man,True,C,Cherbourg,True,1
29,3,male,28.5,0,0,14.4583,C,Third,man,True,C,Cherbourg,True,0
30,3,male,34.0,0,0,8.05,S,Third,man,True,C,Southampton,True,0
31,1,female,29.0,0,0,211.3375,S,First,woman,False,B,Southampton,True,1
32,3,male,28.5,1,1,15.2458,C,Third,man,True,C,Cherbourg,False,1
33,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,True,0
34,3,male,9.0,1,1,15.9,S,Third,child,False,C,Southampton,False,1
35,3,male,4.0,1,1,11.1333,S,Third,child,False,C,Southampton,False,1
36,3,male,9.0,0,2,20.525,S,Third,child,False,C,Southampton,False,1
37,3,female,16.0,5,2,46.9,S,Third,woman,False,C,Southampton,False,0
38,3,male,28.5,0,0,7.75,Q,Third,man,True,C,Queenstown,True,0
39,2,female,18.0,0,2,13.0,S,Second,woman,False,C,Southampton,False,1
40,1,male,70.0,1,1,71.0,S,First,man,True,B,Southampton,False,0
41,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,False,0
42,2,male,48.0,0,0,13.0,S,Second,man,True,C,Southampton,True,0
43,2,female,17.0,0,0,10.5,S,Second,woman,False,C,Southampton,True,1
44,2,female,35.0,0,0,21.0,S,Second,woman,False,C,Southampton,True,1
45,3,male,21.0,0,0,7.925,S,Third,man,True,C,Southampton,True,0
46,3,male,28.5,0,0,9.5,S,Third,man,True,C,Southampton,True,0
47,3,female,40.0,1,0,9.475,S,Third,woman,False,C,Southampton,False,0
48,3,female,0.75,2,1,19.2583,C,Third,child,False,C,Cherbourg,False,1
49,2,female,30.0,0,0,12.35,Q,Second,woman,False,C,Queenstown,True,1
50,1,female,33.0,0,0,86.5,S,First,woman,False,B,Southampton,True,1
51,3,female,28.5,0,0,8.05,S,Third,woman,False,C,Southampton,True,0
52,3,female,28.5,0,0,7.6292,Q,Third,woman,False,C,Queenstown,True,0
53,2,male,28.5,0,0,13.0,S,Second,man,True,C,Southampton,True,1
54,1,male,36.0,0,1,512.3292,C,First,man,True,B,Cherbourg,False,1
55,3,male,26.0,0,0,8.05,S,Third,man,True,C,Southampton,True,0
56,3,male,28.5,1,0,16.1,S,Third,man,True,C,Southampton,False,0
57,1,male,35.0,0,0,26.2875,S,First,man,True,E,Southampton,True,1
58,3,female,21.0,0,0,7.65,S,Third,woman,False,C,Southampton,True,1
59,1,male,34.0,0,0,26.55,S,First,man,True,C,Southampton,True,1
60,3,female,28.5,1,0,14.4583,C,Third,woman,False,C,Cherbourg,False,0
61,2,female,33.0,1,2,27.75,S,Second,woman,False,C,Southampton,False,1
62,3,male,16.0,0,0,7.775,S,Third,man,True,C,Southampton,True,0
63,2,male,46.0,0,0,26.0,S,Second,man,True,C,Southampton,True,0
64,1,male,31.0,1,0,57.0,S,First,man,True,B,Southampton,False,1
65,3,female,18.0,2,0,18.0,S,Third,woman,False,C,Southampton,False,0
66,1,female,28.5,1,0,82.1708,C,First,woman,False,C,Cherbourg,False,1
67,3,male,33.0,0,0,9.5,S,Third,man,True,C,Southampton,True,0
68,1,male,61.0,0,0,32.3208,S,First,man,True,D,Southampton,True,0
69,2,male,24.0,0,0,13.0,S,Second,man,True,C,Southampton,True,0
70,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,False,1
71,3,male,28.5,0,0,7.225,C,Third,man,True,C,Cherbourg,True,0
72,3,female,28.5,0,2,7.75,Q,Third,woman,False,C,Queenstown,False,0
73,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,True,1
74,2,male,33.0,0,0,12.275,S,Second,man,True,C,Southampton,True,0
75,3,male,40.5,0,2,14.5,S,Third,man,True,C,Southampton,False,0
76,3,male,35.0,0,0,8.05,S,Third,man,True,C,Southampton,True,0
77,3,male,25.0,1,0,7.775,S,Third,man,True,C,Southampton,False,0
78,3,female,28.5,8,2,69.55,S,Third,woman,False,C,Southampton,False,0
79,3,female,9.0,3,2,27.9,S,Third,child,False,C,Southampton,False,0
80,3,male,1.0,5,2,46.9,S,Third,child,False,C,Southampton,False,0
81,3,male,30.0,0,0,7.225,C,Third,man,True,C,Cherbourg,True,0
82,3,male,31.0,0,0,7.75,Q,Third,man,True,C,Queenstown,True,0
83,3,male,26.0,0,0,7.775,S,Third,man,True,C,Southampton,True,0
84,3,female,21.0,0,0,7.75,Q,Third,woman,False,C,Queenstown,True,0
85,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,False,0
86,2,male,52.0,0,0,13.0,S,Second,man,True,C,Southampton,True,0
87,3,female,28.5,1,0,16.1,S,Third,woman,False,C,Southampton,False,1
88,1,male,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,True,0
89,1,female,16.0,0,1,39.4,S,First,woman,False,D,Southampton,False,1
90,1,male,28.5,0,0,35.5,S,First,man,True,C,Southampton,True,1
91,1,male,28.5,0,0,35.0,S,First,man,True,C,Southampton,True,0
92,2,male,62.0,0,0,10.5,S,Second,man,True,C,Southampton,True,1
93,3,male,28.5,0,0,7.8958,S,Third,man,True,C,Southampton,True,0
94,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,False,0
95,2,female,28.5,0,0,33.0,S,Second,woman,False,C,Southampton,True,1
96,2,female,50.0,0,0,10.5,S,Second,woman,False,C,Southampton,True,1
97,3,male,28.5,0,0,7.75,Q,Third,man,True,C,Queenstown,True,0
98,3,male,35.0,0,0,8.05,S,Third,man,True,C,Southampton,True,0
99,3,male,25.0,0,0,0.0,S,Third,man,True,C,Southampton,True,1
100,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,True,0
101,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,False,1
102,3,female,28.5,0,0,7.7875,Q,Third,woman,False,C,Queenstown,True,1
103,2,female,14.0,1,0,30.0708,C,Second,child,False,C,Cherbourg,False,1
104,3,male,26.0,0,0,7.8875,S,Third,man,True,C,Southampton,True,0
105,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,True,1
106,2,male,16.0,0,0,10.5,S,Second,man,True,C,Southampton,True,0
107,3,male,28.5,0,0,7.8958,S,Third,man,True,C,Southampton,True,0
108,3,male,19.0,0,0,7.8958,S,Third,man,True,C,Southampton,True,0
109,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,False,0
110,3,male,28.5,0,0,7.75,Q,Third,man,True,C,Queenstown,True,0
111,3,male,28.5,8,2,69.55,S,Third,man,True,C,Southampton,False,0
112,3,male,27.0,0,0,7.7958,S,Third,man,True,C,Southampton,True,1
113,1,male,58.0,0,2,113.275,C,First,man,True,D,Cherbourg,False,0
114,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,False,1
115,3,male,28.5,0,0,7.75,Q,Third,man,True,C,Queenstown,True,0
116,3,male,2.0,4,1,29.125,Q,Third,child,False,C,Queenstown,False,0
117,3,male,16.0,0,0,9.2167,S,Third,man,True,C,Southampton,True,0
118,3,male,24.0,1,0,16.1,S,Third,man,True,C,Southampton,False,0
119,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,True,0
120,3,male,28.0,0,0,7.8958,S,Third,man,True,C,Southampton,True,0
121,2,female,30.0,3,0,21.0,S,Second,woman,False,C,Southampton,False,1
122,3,male,44.0,0,0,8.05,S,Third,man,True,C,Southampton,True,0
123,3,female,9.0,4,2,31.275,S,Third,child,False,C,Southampton,False,0
124,3,male,18.0,0,0,7.75,S,Third,man,True,C,Southampton,True,0
125,3,male,2.0,4,1,39.6875,S,Third,child,False,C,Southampton,False,0
126,1,male,29.0,1,0,66.6,S,First,man,True,C,Southampton,False,0
127,3,female,30.0,1,1,24.15,S,Third,woman,False,C,Southampton,False,0
128,3,male,24.5,0,0,8.05,S,Third,man,True,C,Southampton,True,0
129,1,male,27.0,0,0,30.5,S,First,man,True,C,Southampton,True,1
130,3,male,28.5,0,0,56.4958,S,Third,man,True,C,Southampton,True,0
131,3,male,28.0,0,0,7.7958,S,Third,man,True,C,Southampton,True,0
132,3,female,28.5,1,0,15.5,Q,Third,woman,False,C,Queenstown,False,1
133,3,male,28.5,0,0,6.8583,Q,Third,man,True,C,Queenstown,True,0
134,2,male,8.0,1,1,36.75,S,Second,child,False,C,Southampton,False,1
135,3,male,20.0,0,0,9.5,S,Third,man,True,C,Southampton,True,0
136,1,female,14.0,1,2,120.0,S,First,child,False,B,Southampton,False,1
137,3,male,28.5,0,0,7.75,Q,Third,man,True,C,Queenstown,True,0
138,3,female,28.5,0,0,7.75,Q,Third,woman,False,C,Queenstown,True,1
139,3,male,28.5,0,0,8.1125,S,Third,man,True,C,Southampton,True,1
140,1,male,31.0,1,0,52.0,S,First,man,True,B,Southampton,False,0
141,3,male,23.5,0,0,7.2292,C,Third,man,True,C,Cherbourg,True,0
142,1,male,11.0,1,2,120.0,S,First,child,False,B,Southampton,False,1
143,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,False,0
144,3,male,17.0,1,1,7.2292,C,Third,man,True,C,Cherbourg,False,0
145,1,male,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,False,1
146,3,male,28.5,0,0,7.8958,S,Third,man,True,C,Southampton,True,0
147,2,male,25.0,1,0,26.0,S,Second,man,True,C,Southampton,False,0
148,2,female,17.0,0,0,12.0,C,Second,woman,False,C,Cherbourg,True,1
149,2,female,19.0,0,0,26.0,S,Second,woman,False,C,Southampton,True,1
150,3,male,27.0,0,0,6.975,S,Third,man,True,C,Southampton,True,1
151,3,male,11.0,0,0,18.7875,C,Third,child,False,C,Cherbourg,True,0
152,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,False,1
153,3,female,14.0,1,0,11.2417,C,Third,child,False,C,Cherbourg,False,1
154,1,male,55.0,0,0,30.5,S,First,man,True,C,Southampton,True,0
155,3,female,27.0,0,1,12.475,S,Third,woman,False,E,Southampton,False,1
156,2,male,27.0,0,0,13.0,S,Second,man,True,C,Southampton,True,0
157,3,male,25.0,1,0,17.8,S,Third,man,True,C,Southampton,False,0
158,2,male,25.0,1,2,41.5792,C,Second,man,True,C,Cherbourg,False,0
159,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,True,1
160,1,male,25.0,1,0,91.0792,C,First,man,True,B,Cherbourg,False,1
161,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,False,1
162,3,female,28.5,0,0,7.75,Q,Third,woman,False,C,Queenstown,True,1
163,1,female,56.0,0,1,83.1583,C,First,woman,False,C,Cherbourg,False,1
164,2,female,2.0,1,1,26.0,S,Second,child,False,C,Southampton,False,1
165,3,female,24.0,0,0,8.85,S,Third,woman,False,C,Southampton,True,0
166,3,male,30.5,0,0,8.05,S,Third,man,True,C,Southampton,True,0
167,1,male,47.0,0,0,34.0208,S,First,man,True,D,Southampton,True,0
168,2,female,24.0,0,0,13.0,S,Second,woman,False,C,Southampton,True,0
169,3,female,24.0,1,0,15.85,S,Third,woman,False,C,Southampton,False,1
170,3,male,42.0,0,0,8.6625,S,Third,man,True,C,Southampton,True,0
171,3,male,28.5,0,0,7.225,C,Third,man,True,C,Cherbourg,True,0
172,1,male,28.5,0,0,27.7208,C,First,man,True,C,Cherbourg,True,0
173,3,male,19.0,0,0,6.75,Q,Third,man,True,C,Queenstown,True,0
174,2,female,25.0,0,1,26.0,S,Second,woman,False,C,Southampton,False,1
175,3,male,20.0,0,0,7.8542,S,Third,man,True,C,Southampton,True,0
176,2,male,28.0,0,0,10.5,S,Second,man,True,C,Southampton,True,0
177,2,female,23.0,0,0,13.7917,C,Second,woman,False,D,Cherbourg,True,1
178,2,male,31.0,1,1,26.25,S,Second,man,True,C,Southampton,False,0
